cityLabel,population,gps
Edo,http://www.wikidata.org/.well-known/genid/87cd17fb88bb3fc7650e83dcb98fba7b,Point(139.774444444 35.683888888)
Barxelas,0,Point(-7.845761111 42.370038888)
A Garduñeira,0,Point(-7.968938888 42.340813888)
Q61379203,0,Point(-7.481878 42.713333)
Q20546571,0,Point(-7.679743 42.339763)
Lousadela,0,Point(-7.238972222 42.604722222)
Q12398919,0,Point(-6.965963888 42.451605555)
Q12393950,0,Point(-6.984194444 42.439966666)
Q12381764,0,Point(-7.69 42.316111)
Puerto Navarino,0,Point(-68.3239 -54.9256)
Flat Rock,0,Point(-83.272777777 42.101944444)
Brooten,0,Point(-95.124444444 45.501111111)
North Mankato,0,Point(-94.013780555 44.170011111)
South Park View,0,Point(-85.7214 38.1192)
Clearwater,0,Point(-94.048888888 45.419444444)
Bonner Springs,0,Point(-94.8792 39.0667)
Blooming Prairie,0,Point(-93.05103 43.86663)
Lakeside,0,Point(-92.6211 38.2017)
Galion,0,Point(-82.7886 40.7331)
Tower City,0,Point(-97.675 46.923333333)
Mundobriga,0,Point(-1.7 41.25)
Greenhorn,0,Point(-118.496666666 44.708611111)
Hartford,0,Point(-88.378888888 43.318333333)
Rineia,0,Point(25.233333333 37.4)
Reimerswaal,0,Point(4.172486 51.507539)
Plymouth,0,Point(-62.215838888 16.706416666)
Souto de Rei,1,Point(-7.866769444 42.370838888)
O Palacio,1,Point(-7.853455555 42.490097222)
"Cartelos, Cartelos, Carballedo",1,Point(-7.850564 42.564886)
Q20547092,1,Point(-6.952316666 42.4063)
Q20543211,1,Point(-7.023675 42.393416666)
Q12382422,1,Point(-7.056377777 42.331647222)
Q12381764,1,Point(-7.69 42.316111)
Zaparín,1,Point(-8.121416666 42.216194444)
O Vao,1,Point(-7.157561111 42.251155555)
Ruso,1,Point(-100.932777777 47.837777777)
Douala,1.49,Point(9.7 4.05)
Fontelo,2,Point(-7.921411111 42.356022222)
A Cuqueira,2,Point(-7.974663888 42.350822222)
A Ra,2,Point(-7.897366666 42.429127777)
Q61379375,2,Point(-7.834336 42.539503)
Q61379230,2,Point(-7.481569 42.705564)
Barxa,2,Point(-7.084163888 42.345438888)
Sabha,2,Point(14.433333333 27.033333333)
Bellevue,2,Point(-82.8422 41.2758)
Mawlamyine,2,Point(97.625833333 16.484722222)
O Cirro,3,Point(-7.973252777 42.345033333)
Q114658161,3,Point(-7.860213888 42.372005555)
O Prado,3,Point(-7.870277777 42.465827777)
Q61379233,3,Point(-7.481981 42.713619)
Q61379224,3,Point(-7.495806 42.704764)
A Venda do Bolaño,3,Point(-7.266722222 42.066)
Q12396672,3,Point(-7.0763 42.279372222)
Q12384895,3,Point(-7.806916666 42.339694444)
Q12383227,3,Point(-7.699444 42.344722)
Warm River,3,Point(-111.317 44.1144)
Royalton,3,Point(-94.3 45.833333333)
South Haven,3,Point(-86.273611111 42.403055555)
Greenhorn,3,Point(-118.496666666 44.708611111)
Q113515073,4,Point(-7.036647222 42.311480555)
Campo Novo,4,Point(-7.942225 42.361144444)
Castiñeiras,4,Point(-7.886961111 42.47065)
Q61379337,4,Point(-7.819211 42.550625)
Q59569181,4,Point(-7.230277777 42.792222222)
Q12401536,4,Point(-7.779395915 42.225861254)
Q12399061,4,Point(-6.869480555 42.300525)
Q12394941,4,Point(-6.987486111 42.429658333)
Q12384895,4,Point(-7.806916666 42.339694444)
Q12384701,4,Point(-7.812094444 42.122944444)
Enderlin,4,Point(-97.6 46.6225)
Warm River,4,Point(-111.317 44.1144)
Pioneer,4,Point(-94.390833333 42.654444444)
Ruso,4,Point(-100.932777777 47.837777777)
Richfield,4,Point(-112.0875 38.765833333)
Minnesota Lake,4,Point(-93.83189 43.8419)
A Conchada,5,Point(-7.931666666 42.361841666)
A Burata,5,Point(-7.937266666 42.367866666)
O Rego,5,Point(-7.92405 42.447313888)
A Pousa,5,Point(-7.899255555 42.432675)
Q61379644,5,Point(-7.861667 42.532056)
Q61379387,5,Point(-7.806275 42.553836)
Q20548599,5,Point(-7.329158333 41.914311111)
Igon,5,Point(-7.057168472 42.915036917)
Q12395109,5,Point(-7.362975 41.928566666)
Q12388343,5,Point(-7.682222 42.317778)
Q12384702,5,Point(-7.808630555 42.127655555)
Freeport,5,Point(-97.8564 37.1972)
Tenney,5,Point(-96.453333333 46.044444444)
Q12402569,6,Point(-7.66583333 42.35138889)
Q12401160,6,Point(-7.209305555 41.886655555)
Q12394191,6,Point(-6.881388888 42.448221944)
Perth,6,Point(-99.458333333 48.715555555)
Freeport,6,Point(-97.8564 37.1972)
Bantry,6,Point(-100.609722222 48.497777777)
Blanca,7,Point(-8.377222222 43.067222222)
Q113515038,7,Point(-7.023172222 42.283538888)
A Rega,7,Point(-7.850161111 42.369675)
A Capela,7,Point(-7.917397222 42.358908333)
Quintela,7,Point(-7.728155555 42.195238888)
A Raña,7,Point(-7.861522222 42.486427777)
Q20548734,7,Point(-6.932116666 42.415163888)
"O Seixo, Barxa, A Gudiña",7,Point(-7.187222222 41.975027777)
Q12380398,7,Point(-7.516667 42.347778)
Sabetha,7,Point(-95.7994 39.9031)
Bergen,7,Point(-100.716666666 48.002777777)
Roosevelt,7,Point(-95.096944444 48.803611111)
Grano,7,Point(-101.5875 48.615833333)
Clayton,7,Point(-114.4 44.2589)
As Pardiñas,8,Point(-8.370833333 43.084166666)
Nogueira,8,Point(-7.925713888 42.36965)
Q12402373,8,Point(-6.966361111 42.430188888)
Q12383480,8,Point(-6.954269444 42.411394444)
Q12382849,8,Point(-7.6775 42.314444)
Arlington,8,Point(-97.134722222 44.364444444)
Hannah,8,Point(-98.690555555 48.973055555)
Freeport,8,Point(-97.8564 37.1972)
Kief,8,Point(-100.512222222 47.858888888)
Calio,8,Point(-98.935 48.63)
Requeixo,9,Point(-7.910758333 42.368033333)
O Palacio,9,Point(-7.900855555 42.450647222)
Montós,9,Point(-7.862369444 42.502311111)
A Pousa,9,Point(-7.875866666 42.468638888)
Q61378987,9,Point(-7.869119444 42.436325)
Q12400671,9,Point(-6.855169444 42.318352777)
Q12399087,9,Point(-6.8515 42.348602777)
Brown City,9,Point(-82.9896604 43.2122486)
Perth,9,Point(-99.458333333 48.715555555)
Larson,9,Point(-102.860555555 48.889444444)
